"yearID","AB","H","HR","SO","SF","BA","BIP_AB","IPBA","era"
1901,77105,20957,455,6976,0,0.271798197263472,69674,0.294256107012659,"Before 1951"
1902,76280,20350,354,6630,0,0.266780283167278,69296,0.288559224197645,"Before 1951"
1903,75439,19776,335,7899,0,0.262145574570183,67205,0.289279071497656,"Before 1951"
1904,82488,20363,331,9299,0,0.246860149355058,72858,0.27494578495155,"Before 1951"
1905,81842,20298,338,9523,0,0.248014466899636,71981,0.277295397396535,"Before 1951"
1906,80061,19742,261,9110,0,0.24658697742971,70690,0.27558353373886,"Before 1951"
1907,80304,19701,244,8836,0,0.245330245068739,71224,0.273180388633045,"Before 1951"
1908,80679,19279,267,9078,0,0.238959332664014,71334,0.266520873636695,"Before 1951"
1909,80613,19657,259,9377,0,0.243844045005148,70977,0.273299801344097,"Before 1951"
1910,81551,20332,361,9677,0,0.249316378707802,71513,0.279263910058311,"Before 1951"
1911,82261,21914,514,9871,0,0.266395983515882,71876,0.297734988034949,"Before 1951"
1912,82039,22039,442,9684,0,0.26864052462853,71913,0.30032122147595,"Before 1951"
1913,81216,21021,470,9283,0,0.258828309692671,71463,0.287575388662665,"Before 1951"
1914,81589,20339,415,9766,0,0.249286055718295,71408,0.279016356710733,"Before 1951"
1915,81192,20145,385,9596,0,0.248115577889447,71211,0.277485219980059,"Before 1951"
1916,81923,20285,383,9534,0,0.247610561136677,72006,0.276393633863845,"Before 1951"
1917,82055,20391,335,8680,0,0.248504052160136,73040,0.274589266155531,"Before 1951"
1918,67315,17085,235,5925,0,0.253806729555077,61155,0.275529392527185,"Before 1951"
1919,74671,19624,447,6849,0,0.262806176427261,67375,0.284630797773655,"Before 1951"
1920,84178,23275,630,7247,0,0.276497422129297,76301,0.296785101112698,"Before 1951"
1921,85172,24782,937,6959,0,0.29096416662753,77276,0.308569284124437,"Before 1951"
1922,85346,24613,1055,6950,0,0.288390785742741,77341,0.304599113018968,"Before 1951"
1923,85229,24218,980,7021,0,0.284152107850614,77228,0.300901227534055,"Before 1951"
1924,84666,24271,896,6637,0,0.286667611555997,77133,0.303047982056967,"Before 1951"
1925,85432,24914,1169,6665,0,0.291623747541905,77598,0.306000154643161,"Before 1951"
1926,83752,23505,863,6777,0,0.280650014328016,76112,0.297482657136851,"Before 1951"
1927,84461,23960,922,6889,0,0.283681225654444,76650,0.300560991519896,"Before 1951"
1928,84480,23736,1093,7099,0,0.280965909090909,76288,0.296809458892617,"Before 1951"
1929,85210,24642,1349,6982,0,0.289191409458984,76879,0.302982609034977,"Before 1951"
1930,86571,25597,1565,7934,0,0.295676381236211,77072,0.311812331326552,"Before 1951"
1931,86624,24046,1069,7894,0,0.277590506095308,77661,0.295862788272106,"Before 1951"
1932,87182,24106,1358,7878,0,0.276502030235599,77946,0.291843070843918,"Before 1951"
1933,85222,22969,1067,7444,0,0.269519607613058,76711,0.285513159781518,"Before 1951"
1934,85911,23962,1344,8432,0,0.278916553177125,76135,0.297077559598082,"Before 1951"
1935,86437,24074,1325,8004,0,0.278514987794579,77108,0.295027753281112,"Before 1951"
1936,87638,24863,1364,8235,0,0.283701134211187,78039,0.301118671433514,"Before 1951"
1937,85963,23769,1430,9001,0,0.276502681386178,75532,0.29575544140232,"Before 1951"
1938,85013,23293,1475,8335,0,0.273993389246351,75203,0.290121404731194,"Before 1951"
1939,84879,23371,1445,8501,0,0.275344902743906,74933,0.292608063203128,"Before 1951"
1940,86003,23002,1571,9049,0,0.267455786426055,75383,0.28429486754308,"Before 1951"
1941,85854,22531,1331,8826,0,0.262433899410627,75697,0.280063939125725,"Before 1951"
1942,83731,21176,1071,8325,0,0.252905136687726,74335,0.270464787785027,"Before 1951"
1943,84701,21467,905,8546,0,0.253444469368721,75250,0.273249169435216,"Before 1951"
1944,85665,22307,1034,8185,0,0.260398062219109,76446,0.278274860685974,"Before 1951"
1945,84447,21977,1007,8045,0,0.260246071500468,75395,0.278135154851117,"Before 1951"
1946,84333,21555,1215,9696,0,0.255593895628046,73422,0.277028683500858,"Before 1951"
1947,84436,22003,1565,9157,0,0.260587900895353,73714,0.277260764576607,"Before 1951"
1948,84411,22234,1555,9016,0,0.263401689353283,73840,0.280051462621885,"Before 1951"
