season,play_id,yds_to_end,next_score
2021,55,75,-3
2021,76,78,-3
2021,100,75,-3
2021,122,75,-3
2021,152,61,3
2021,181,23,3
2021,218,31,3
2021,253,30,3
2021,282,9,3
2021,303,9,3
2021,343,14,3
2021,386,24,3
2021,410,16,3
2021,432,16,3
2021,473,80,-7
2021,494,81,-7
2021,559,1,7
2021,599,5,7
2021,621,5,7
2021,660,5,7
2021,716,75,-7
2021,737,73,-7
2021,769,81,-7
2021,791,81,-7
2021,816,65,7
2021,839,61,7
2021,863,58,7
2021,885,58,7
2021,911,80,-7
2021,930,86,-7
2021,954,82,-7
2021,983,74,-7
2021,1011,68,-7
2021,1032,69,-7
2021,1053,67,-7
2021,1072,75,-7
2021,1090,70,7
2021,1128,72,7
2021,1152,62,7
2021,1185,45,7
2021,1206,42,7
2021,1230,32,7
2021,1254,29,7
2021,1286,22,7
2021,1323,25,7
2021,1344,17,7
2021,1409,75,7
2021,1431,75,7
2021,1455,63,7
2021,1476,61,7
2021,1505,50,7
2021,1540,11,7
2021,1562,11,7
2021,1584,11,7
2021,1608,1,7
2021,1629,1,7
2021,1650,1,7
2021,1703,75,7
2021,1725,75,7
2021,1747,75,7
2021,1771,57,7
2021,1792,53,7
2021,1813,45,7
2021,1834,45,7
2021,1858,41,7
2021,1882,19,7
2021,1920,19,7
2021,1955,8,7
2021,1981,2,7
2021,2050,75,0
2021,2074,66,0
2021,2095,50,0
2021,2119,41,0
2021,2148,37,0
2021,2189,33,0
2021,2222,28,0
2021,2244,28,0
2021,2266,28,0
2021,2287,64,0
2021,2345,52,0
2021,2367,52,0
2021,2444,84,-7
2021,2465,80,-7
2021,2503,77,-7
2021,2529,32,7
2021,2553,13,7
2021,2609,75,7
2021,2633,46,7
2021,2654,43,7
2021,2690,33,7
2021,2716,26,7
2021,2766,26,7
2021,2833,75,-7
2021,2856,80,-7
2021,2880,71,-7
2021,2901,70,-7
2021,2927,53,7
2021,2949,53,7
2021,2982,53,7
2021,3001,60,7
2021,3020,90,-7
2021,3041,71,-7
2021,3062,67,-7
2021,3083,59,-7
2021,3106,64,-7
2021,3127,56,-7
2021,3148,57,-7
2021,3177,33,7
2021,3203,17,7
2021,3224,13,7
2021,3245,11,7
2021,3310,75,0
2021,3332,75,0
2021,3353,71,0
2021,3377,61,0
2021,3398,54,0
2021,3420,54,0
2021,3444,49,0
2021,3466,49,0
2021,3488,49,0
2021,3527,49,0
2021,3546,43,0
2021,3586,37,0
2021,3624,36,0
2021,3645,31,0
2021,3666,28,0
2021,3687,26,0
2021,3708,25,0
2021,3728,67,0
2021,3752,57,0
2021,3776,49,0
2021,3804,39,0
2021,3828,31,0
2021,3847,41,0
2021,3871,34,0
2021,3893,66,0
2021,3919,64,0
2021,3943,55,0
2021,3964,49,0
2021,3987,54,0
2021,4008,46,0
2021,4029,44,0
2021,4050,43,0
2021,4071,42,0
2021,4115,41,0
2021,4162,97,0
2021,4183,89,0
2021,4204,88,0
2021,55,75,-7
2021,77,75,-7
2021,106,66,-7
2021,127,35,-7
2021,148,36,-7
2021,169,34,-7
2021,193,21,-7
2021,228,28,-7
2021,250,28,-7
2021,272,28,-7
2021,305,43,-7
2021,323,92,7
2021,356,89,7
2021,383,71,7
2021,407,69,7
2021,428,67,7
2021,452,59,7
2021,475,64,7
2021,497,64,7
2021,518,62,7
2021,537,68,7
2021,562,76,-7
2021,590,76,-7
2021,612,76,-7
2021,643,76,-7
2021,668,65,7
2021,692,65,7
2021,716,44,7
2021,737,41,7
2021,759,41,7
2021,783,35,7
2021,838,85,-7
2021,859,72,-7
2021,880,72,-7
2021,902,72,-7
2021,924,72,-7
