player,position,draft_year,draft_pos,performance_value
T.J. McDonald,S,2013,71,3.6000000000000005
Christian Kirksey,LB,2014,71,5.7
Hroniss Grasu,C,2015,71,0.4
Darian Thompson,S,2016,71,0.4
Dan Feeney,LG,2017,71,1.9
Royce Freeman,RB,2018,71,0.6
Dre'Mont Jones,IDL,2019,71,7.6
Nnamdi Madubuike,IDL,2020,71,9.6
Martez Wilson,LB,2011,72,0.4
Olivier Vernon,ED,2012,72,10.9
Brian Winters,RG,2013,72,4.3
Scott Crichton,ED,2014,72,0
Jamon Brown,RG,2015,72,3.2
Jonathan Bullard,IDL,2016,72,0.5
Taywan Taylor,WR,2017,72,0.4
Nathan Shepherd,IDL,2018,72,0.5
Germaine Pratt,LB,2019,72,3
Josh Jones,LT,2020,72,0.7
Stevan Ridley,RB,2011,73,0.9000000000000001
Brandon Taylor,S,2012,73,0
Preston Brown,LB,2014,73,2.8
Tevin Coleman,RB,2015,73,2.3
Kenyan Drake,RB,2016,73,4.3
Jordan Willis,ED,2017,73,0.5
Jerome Baker,LB,2018,73,6.800000000000001
David Montgomery,RB,2019,73,2.7
Davon Hamilton,IDL,2020,73,5.1
Donald Stephenson,RT,2012,74,3
Terrance Williams,WR,2013,74,2.5
Jay Bromley,IDL,2014,74,0.4
Owamagbe Odighizuwa,ED,2015,74,0.4
KeiVarae Russell,CB,2016,74,0.4
Chris Wormley,IDL,2017,74,2.5
Geron Christian,LT,2018,74,0.6
Devin Singletary,RB,2019,74,1.2
Zack Baun,LB,2020,74,1.4
John Moffitt,LG,2011,75,0.5
Terron Armstead,LT,2013,75,8.4
Tre Mason,RB,2014,75,0
Shilique Calhoun,LB,2016,75,0.3
Duke Riley,LB,2017,75,0.6
Derrick Nnadi,IDL,2018,75,1.3
Jace Sternberger,TE,2019,75,0.5
Jonah Jackson,LG,2020,75,6.7
Will Rackley,LG,2011,76,0.4
Brandon Brooks,RG,2012,76,5.2
Keenan Allen,WR,2013,76,7.200000000000001
Travis Swanson,C,2014,76,0.9000000000000001
Chris Conley,WR,2015,76,1.2
Shon Coleman,LT,2016,76,0.5
Alex Anzalone,LB,2017,76,1
Terry McLaurin,WR,2019,76,11.1
Ke'Shawn Vaughn,RB,2020,76,0.1
Jurrell Casey,IDL,2011,77,6.800000000000001
Demario Davis,LB,2012,77,2.6
Dallas Thomas,LG,2013,77,0.5
Chris Borland,LB,2014,77,0
Duke Johnson,RB,2015,77,2.9
Daryl Worley,CB,2016,77,0.4
Daeshon Hall,IDL,2017,77,0.4
Sam Hubbard,ED,2018,77,5.5
Chase Winovich,ED,2019,77,0.5
Michael Ojemudia,CB,2020,77,0.1
Austin Pettis,WR,2011,78,0.7
Michael Egnew,TE,2012,78,0.1
Marquise Goodwin,WR,2013,78,1.8000000000000003
Spencer Long,C,2014,78,3.9
P.J. Williams,CB,2015,78,1.2
Joe Thuney,LG,2016,78,7.5
Tim Williams,ED,2017,78,0.3
Malik Jefferson,LB,2018,78,0.1
Michael Deiter,LG,2019,78,0.5
Matt Hennessy,C,2020,78,0.8
Leonard Hankerson,WR,2011,79,0.7
Brandon Hardin,S,2012,79,0.3
Markus Wheaton,WR,2013,79,3.3000000000000003
Terrence Brooks,S,2014,79,1.1
Eli Harold,ED,2015,79,0.5
Isaac Seumalo,LG,2016,79,3.1
ArDarius Stewart,WR,2017,79,0.1
Rasheem Green,ED,2018,79,1.3
David Long,CB,2019,79,0.7
Jabari Zuniga,ED,2020,79,0.5
Chris Culliver,CB,2011,80,5.6
Jamell Fleming,CB,2012,80,0.5
J.J. Wilcox,S,2013,80,1.9
Dexter McDougle,CB,2014,80,0.4
Alex Carter,CB,2015,80,0.3
Adolphus Washington,IDL,2016,80,0.5
Tarell Basham,ED,2017,80,1.5
Martinas Rankin,LT,2018,80,0
Sione Takitaki,LB,2019,80,1.1
Lynn Bowden,RB,2020,80,0.1
DeMarcus Van Dyke,CB,2011,81,0.4
Tyrone Crawford,IDL,2012,81,6.3
Damontre Moore,ED,2013,81,0.4
Gabe Jackson,RG,2014,81,6.6000000000000005
John Miller,RG,2015,81,2.9
Austin Hooper,TE,2016,81,5.3
Fabian Moreau,CB,2017,81,0.6
Michael Gallup,WR,2018,81,5.5
Will Harris,S,2019,81,1.1
Bryan Edwards,WR,2020,81,0.1
Vincent Brown,WR,2011,82,0.7
Mike Martin,IDL,2012,82,0.5
John Jenkins,IDL,2013,82,0.4
Will Sutton,IDL,2014,82,0.4
Lorenzo Mauldin,ED,2015,82,0
Le'Raven Clark,RT,2016,82,0.6
Carlos Henderson,WR,2017,82,0.1
Tracy Walker,S,2018,82,4
Nate Davis,RG,2019,82,4.4
Neville Gallimore,IDL,2020,82,0.7
Jerrel Jernigan,WR,2011,83,0
Mohamed Sanu,WR,2012,83,4.2
Logan Ryan,CB,2013,83,6
Louis Nix,IDL,2014,83,0.4
Craig Mager,CB,2015,83,0.4
Jordan Jenkins,ED,2016,83,1.9
Derek Rivers,ED,2017,83,0.6
Orlando Brown Jr.,RT,2018,83,0.5
Justin Layne,CB,2019,83,0
Lloyd Cushenberry,C,2020,83,4.9
Mason Foster,LB,2011,84,0.6
Bernard Pierce,RB,2012,84,0.5
Shawn Williams,S,2013,84,3.1
Kareem Martin,ED,2014,84,2.8
Khyri Thornton,IDL,2014,84,0.3
Jordan Hicks,LB,2015,84,4.5
Kendall Fuller,CB,2016,84,5
Chris Godwin,WR,2017,84,8.8
Justin Jones,IDL,2018,84,2.9
Khalen Saunders,IDL,2019,84,1.8000000000000003
Terrell Lewis,ED,2020,84,0.5
Jah Reid,RT,2011,85,2.4
Dwight Bentley,CB,2012,85,0.4
Jordan Reed,TE,2013,85,6
Tyler Kroft,TE,2015,85,3.3000000000000003
Braxton Miller,WR,2016,85,0.1
Antonio Garcia,RT,2017,85,0.5
Rashaan Gaulden,S,2018,85,0.3
Jaylon Ferguson,ED,2019,85,0
Julian Blackmon,S,2020,85,1.4
Allen Bailey,IDL,2011,86,4.7
Sean Spence,LB,2012,86,1.6
Hugh Thornton,RG,2013,86,0.4
Josh Huff,WR,2014,86,0.4
David Johnson,RB,2015,86,7.3
Leonte Carroo,WR,2016,86,0.4
Kareem Hunt,RB,2017,86,0.6
Mark Andrews,TE,2018,86,7.7
Kahale Warring,TE,2019,86,0.4
Zack Moss,RB,2020,86,1.6
Drake Nevis,IDL,2011,87,0.5
John Hughes,IDL,2012,87,2.2
Jordan Hill,IDL,2013,87,0.4
Phillip Gaines,CB,2014,87,0.5
Sammie Coates,WR,2015,87,0.4
Nick Vigil,LB,2016,87,1.2
Arden Key,ED,2018,87,0.6
Damien Harris,RB,2019,87,0.8
Anfernee Jennings,ED,2020,87,1.6
Johnny Patrick,CB,2011,88,0
Corey Lemonier,ED,2013,88,0.6
Will Clarke,ED,2014,88,0.4
Danielle Hunter,ED,2015,88,8.1
Kyler Fackrell,ED,2016,88,2.3
Eddie Vanderdoes,IDL,2017,88,0.4
Oren Burks,LB,2018,88,1.2
Cody Barton,LB,2019,88,1.6
Jordan Elliott,IDL,2020,88,0.8
Shareece Wright,CB,2011,89,2.1
Akiem Hicks,IDL,2012,89,3.2
Brennan Williams,RT,2013,89,0.4
Chris Watt,RG,2014,89,0.4
Javon Hargrave,IDL,2016,89,6.6000000000000005
D'Onta Foreman,RB,2017,89,0.4
Joseph Noteboom,LT,2018,89,6.4
Bobby Okereke,LB,2019,89,4.4
Cameron Dantzler,CB,2020,89,0.4
Curtis Marsh,CB,2011,90,0.5
Jake Bequette,ED,2012,90,0.1
Kayvon Webster,CB,2013,90,2.3
Donte Moncrief,WR,2014,90,5.4
Carl Davis,ED,2015,90,0.5
C.J. Prosise,RB,2016,90,0.5
Shaquill Griffin,CB,2017,90,7.3
Deadrin Senat,IDL,2018,90,0.5
Connor McGovern,C,2019,90,3.3000000000000003
Jonathan Greenard,ED,2020,90,7.400000000000001
Akeem Dent,LB,2011,91,1.6
Lamar Holmes,LT,2012,91,0.5
Duron Harmon,S,2013,91,2.5
John Brown,WR,2014,91,2.8
Chaz Green,RT,2015,91,0.4
John Johnson,S,2017,91,6.2
Tre'Quan Smith,WR,2018,91,1.4
Trey Pipkins,RT,2019,91,3.2
Devin Asiasi,TE,2020,91,0.1
Joseph Barksdale,RT,2011,92,0.8
T.Y. Hilton,WR,2012,92,9.1
Stedman Bailey,WR,2013,92,0
Trai Turner,RG,2014,92,6.7
Jeff Heuerman,TE,2015,92,2.1
Brandon Williams,CB,2016,92,0.4
Jourdan Lewis,CB,2017,92,2.5
Chukwuma Okorafor,RT,2018,92,4.7
Chuma Edoga,RT,2019,92,0.5
Devin Duvernay,WR,2020,92,1.7000000000000002
Chris Conte,S,2011,93,1
Brandon Thompson,IDL,2012,93,0.5
Will Davis,CB,2013,93,0.5
Brandon Linder,C,2014,93,6.2
Henry Anderson,IDL,2015,93,4.5
Montravius Adams,IDL,2017,93,0.6
Ronnie Harrison,S,2018,93,0.6
Miles Boykin,WR,2019,93,0.5
Darrynton Evans,RB,2020,93,0.4
Kenrick Ellis,IDL,2011,94,1
Jayron Hosley,CB,2012,94,0
Brandon Williams,IDL,2013,94,6.3
Terrance West,RB,2014,94,0.4
Ty Montgomery,RB,2015,94,0.5
Nick Vannett,TE,2016,94,1.4
Cameron Sutton,CB,2017,94,2.5
Alex Cappa,RG,2018,94,4.2
Jamel Dean,CB,2019,94,5.8
Josiah Deguara,TE,2020,94,0.5
Curtis Brown,CB,2011,95,0.5
Tony Bergstrom,C,2012,95,1.9
Sam Montgomery,ED,2013,95,0.1
Michael Schofield,RG,2014,95,0.5
Matt Jones,RB,2015,95,0.4
Graham Glasgow,RG,2016,95,5.5
Delano Hill,S,2017,95,0.5
Tarvarius Moore,S,2018,95,0.5
Oshane Ximines,ED,2019,95,0.5
McTelvin Agim,IDL,2020,95,0.1
Alex Green,RB,2011,96,0
Chris Givens,WR,2012,96,0.5
Knile Davis,RB,2013,96,0.4
Jerick McKinnon,RB,2014,96,4.2
Xavier Cooper,ED,2015,96,0.5
Vincent Valentine,IDL,2016,96,0.3
Kenny Golladay,WR,2017,96,9.9
Harrison Phillips,IDL,2018,96,3.1
Dawson Knox,TE,2019,96,6.2
Lucas Niang,RT,2020,96,0.2
Sione Fua,IDL,2011,97,0.5
Lamar Miller,RB,2012,97,4.2
Zaviar Gooden,LB,2013,97,0.4
Dri Archer,RB,2014,97,0.4
Geneo Grissom,ED,2015,97,0.4
Rees Odhiambo,LT,2016,97,0.4
Cordrea Tankersley,CB,2017,97,0.1
Mason Cole,C,2018,97,2.5
Bobby Evans,RG,2019,97,0.1
Jacob Phillips,LB,2020,97,0.5
Brandon Hogan,CB,2011,98,0
Gino Gradkowski,C,2012,98,0.7
Richard Rodgers,TE,2014,98,0.5
Steven Nelson,CB,2015,98,4.5
Justin Simmons,S,2016,98,5.8
Chad Williams,WR,2017,98,0.4
Jordan Akins,TE,2018,98,0.5
Quincy Williams,LB,2019,98,2.7
Malik Harrison,LB,2020,98,1.1
K.J. Wright,LB,2011,99,5.1
Ben Jones,C,2012,99,2.8
Nico Johnson,LB,2013,99,0.4
Crockett Gillmore,TE,2014,99,0
Paul Dawson,LB,2015,99,0.4
Joe Schobert,LB,2016,99,5.4
Rasul Douglas,CB,2017,99,0.4
Isaac Yiadom,CB,2018,99,0.6
Mike Edwards,S,2019,99,1.3
Matt Peart,RT,2020,99,0.5
Da'Norris Searcy,S,2011,100,4.1
Travis Benjamin,WR,2012,100,3.9
Akeem Spence,IDL,2013,100,1.8000000000000003
Brandon Thomas,LG,2014,100,0.3
Angelo Blackson,IDL,2015,100,0.4
Jonnu Smith,TE,2017,100,6.800000000000001
Dorian O'Daniel,LB,2018,100,0
Tanner Muse,S,2020,100,0.4
Clint Boling,LG,2011,101,3.6000000000000005
Omar Bolden,CB,2012,101,0.5
Ace Sanders,WR,2013,101,0
Jaylen Watkins,CB,2014,101,0.1
Trey Flowers,ED,2015,101,9.6
Charles Tapper,ED,2016,101,0.1
Brendan Langley,CB,2017,101,0.3
Ian Thomas,TE,2018,101,2.7
Yodny Cajuste,LT,2019,101,1.2
Dalton Keene,TE,2020,101,0.1
Jordan Cameron,TE,2011,102,5.2
Josh Boyce,WR,2013,102,0.4
Bashaud Breeland,CB,2014,102,0.5
Daryl Williams,LG,2015,102,3.2
Joshua Perry,LB,2016,102,0.4
Nazair Jones,IDL,2017,102,0.5
Jalyn Holmes,IDL,2018,102,0.5
Alexander Mattison,RB,2019,102,1.6
Alex Highsmith,ED,2020,102,7.6
Sam Acho,ED,2011,103,0.6
Frank Alexander,ED,2012,103,0
Alex Okafor,ED,2013,103,1.2
Devonta Freeman,RB,2014,103,4.9
Sheldon Day,IDL,2016,103,0.9000000000000001
Trey Hendrickson,ED,2017,103,8.2
Keke Coutee,WR,2018,103,0.1
Hakeem Butler,WR,2019,103,0.1
Davion Taylor,LB,2020,103,0.1
Luke Stocker,TE,2011,104,1.1
Joe Adams,WR,2012,104,0.4
Jelani Jenkins,ED,2013,104,0.5
Jalen Saunders,WR,2014,104,0.3
James Sample,S,2015,104,0.3
Tavon Young,CB,2016,104,4.6
Nyheim Miller-Hines,RB,2018,104,3.4000000000000004
Terrell Burgess,S,2020,104,0.1
Roy Helu,RB,2011,105,1.4
Nigel Bradham,LB,2012,105,2.3
Duke Williams,S,2013,105,0.5
Bryan Stork,C,2014,105,0
Jamison Crowder,WR,2015,105,5
Parker Ehinger,LG,2016,105,0.3
James Conner,RB,2017,105,1
Antonio Callaway,WR,2018,105,0.4
"Chauncey Gardner-Johnson, Jr.",S,2019,105,0.4
Adam Trautman,TE,2020,105,0.7
Christian Ballard,IDL,2011,106,0
Robert Turbin,RB,2012,106,0.5
Dion Sims,TE,2013,106,3.6000000000000005
Bruce Ellington,WR,2014,106,0.4
Jeremy Langford,RB,2015,106,0.4
Eric Murray,S,2016,106,3
Amara Darboh,WR,2017,106,0.3
Josey Jewell,LB,2018,106,2.6
Maxx Crosby,ED,2019,106,11.3
Tyre Phillips,LG,2020,106,0.4
Kris Durham,WR,2011,107,0.4
Devon Wylie,WR,2012,107,0.4
Brian Schwenke,C,2013,107,0.8
Justin Ellis,IDL,2014,107,2.5
Justin Hardy,WR,2015,107,0.5
Chris Moore,WR,2016,107,0.8
Kendell Beckwith,LB,2017,107,0
Christopher Herndon IV,TE,2018,107,0.5
Anthony Nelson,ED,2019,107,2.2
Akeem Davis-Gaither,LB,2020,107,1.1
Quinton Carter,S,2011,108,0
Philip Blake,C,2012,108,0.1
Edmund Kugbila,RG,2013,108,0.5
Cassius Marsh,ED,2014,108,2.2
Jalston Fowler,FB,2015,108,0.1
Ryan Smith,CB,2016,108,0.9000000000000001
Vince Biegel,LB,2017,108,0.3
Julian Love,S,2019,108,2.7
Saahdiq Charles,LT,2020,108,0.6
Colin McCarthy,LB,2011,109,0
Alameda Ta'amu,IDL,2012,109,0.4
David Bakhtiari,LT,2013,109,7.7
Ross Cockrell,CB,2014,109,0.4
Clayton Geathers,S,2015,109,1.5
B.J. Goodson,LB,2016,109,1.2
Jaleel Johnson,IDL,2017,109,0.7
Troy Apke,CB,2018,109,0.6
Khari Willis,S,2019,109,0
John Simpson,LG,2020,109,0.1
David Arkin,RG,2011,110,0.5
Ladarius Green,TE,2012,110,3.2
Mo Alexander,S,2014,110,0.5
T.J. Clemmings,RT,2015,110,0.5
Tyler Higbee,TE,2016,110,3.9
Dede Westbrook,WR,2017,110,0.6
Nick Nelson,CB,2018,110,0.3
Mitch Wishnowsky,P,2019,110,1.3
Darnay Holmes,CB,2020,110,0.4
Clyde Gates,WR,2011,111,0
Evan Rodriguez,RB,2012,111,0.4
Shamarko Thomas,S,2013,111,0.5
Russell Bodine,C,2014,111,1.4
Tre' Jackson,LG,2015,111,0
Miles Killebrew,S,2016,111,1
Tedric Thompson,S,2017,111,0.4
Brian Allen,C,2018,111,2.9
Kendall Sheffield,CB,2019,111,0.2
Solomon Kindley,LG,2020,111,0.1
Greg Salas,WR,2011,112,0.5
Bobby Massie,RT,2012,112,3.9
DaQuan Jones,IDL,2014,112,4
Arie Kouandjio,RG,2015,112,0.4
Malcolm Mitchell,WR,2016,112,0
Eddie Jackson,S,2017,112,7.400000000000001
Mark Walton,RB,2018,112,0.3
Bryce Love,RB,2019,112,0
Joshua Kelley,RB,2020,112,0.4
Chimdi Chekwa,CB,2011,113,0.5
Kyle Wilber,LB,2012,113,1
Barrett Jones,C,2013,113,0.4
Andre Williams,RB,2014,113,0.4
Gabe Wright,IDL,2015,113,0.4
Nick Kwiatkoski,LB,2016,113,3.5000000000000004
Rayshawn Jenkins,S,2017,113,4.8
DaeSean Hamilton,WR,2018,113,0.5
Justice Hill,RB,2019,113,1
"Troy Pride, Jr.",CB,2020,113,0.4
Cecil Shorts,WR,2011,114,2.1
Jaye Howard,IDL,2012,114,3.2
B.W. Webb,CB,2013,114,0.4
Aaron Colvin,CB,2014,114,4.8
Jamil Douglas,RG,2015,114,0.3
Ricardo Louis,WR,2016,114,0.3
Samaje Perine,RB,2017,114,0.4
Da'Shawn Hand,ED,2018,114,0.1
Dru Samia,RG,2019,114,0.1
Leki Fotu,IDL,2020,114,1
Kendall Hunter,RB,2011,115,0.7
Coty Sensabaugh,CB,2012,115,3.2
Shaq Evans,WR,2014,115,0.1
Ibraheim Campbell,S,2015,115,0.4
De'Vondre Campbell,LB,2016,115,3
Dorian Johnson,RG,2017,115,0.4
Joel Iyiegbuniwe,LB,2018,115,0.6
Christian Miller,ED,2019,115,0
Harrison Bryant,TE,2020,115,0.8
Casey Matthews,LB,2011,116,0.6
Orson Charles,TE,2012,116,0.1
Earl Watford,RG,2013,116,1.5
Keith McGill,S,2014,116,0
Rodney Gunter,IDL,2015,116,0.9000000000000001
Hassan Ridgeway,IDL,2016,116,0.5
Carl Lawson,ED,2017,116,8.2
Dorance Armstrong Jr.,ED,2018,116,2.9
Amani Hooker,S,2019,116,4.8
Ben Bartch,LG,2020,116,0.4
James Brewer,RT,2011,117,0.6
Joe Looney,C,2012,117,0.5
Khaseem Greene,LB,2013,117,0.1
Ka'Deem Carey,RB,2014,117,0
Blake Bell,TE,2015,117,0.4
Pharoh Cooper,WR,2016,117,0.4
Josh Reynolds,WR,2017,117,1
Jordan Whitehead,S,2018,117,3.5000000000000004
Austin Bryant,IDL,2019,117,0.5
D.J. Wonnum,ED,2020,117,2.4
Jalil Brown,CB,2011,118,0.5
Jarius Wright,WR,2012,118,2.6
Sean Porter,LB,2013,118,0.1
Martavis Bryant,WR,2014,118,1.1
Ramik Wilson,LB,2015,118,0.4
Juston Burris,CB,2016,118,0.4
Mack Hollins,WR,2017,118,0.6
Anthony Averett,CB,2018,118,1.9
Hjalte Froholdt,RG,2019,118,0.4
Albert Okwuegbunam,TE,2020,118,0.5
Delone Carter,RB,2011,119,0.5
Keenan Robinson,LB,2012,119,1.7000000000000002
Phillip Thomas,S,2013,119,0.3
Anthony Hitchens,LB,2014,119,5.1
Andrew Donnal,RT,2015,119,0.5
Tyler Ervin,RB,2016,119,0.1
Tarik Cohen,RB,2017,119,2.9
Kyzir White,LB,2018,119,1.4
Sheldrick Redwine,S,2019,119,0.5
Mykal Walker,LB,2020,119,0.4
James-Michael Johnson,LB,2012,120,0.5
Gerald Hodges,LB,2013,120,0.5
Josh Shaw,S,2015,120,0.7
David Onyemata,IDL,2016,120,4.5
Ben Gedeon,LB,2017,120,0
Will Dissly,TE,2018,120,3.8
Gary Jennings Jr.,WR,2019,120,0.1
La'Mical Perine,RB,2020,120,0.1
Chris Prosinski,S,2011,121,0.5
Keshawn Martin,WR,2012,121,0.4
Khaled Holmes,C,2013,121,0.4
Carl Bradford,LB,2014,121,0.1
Doran Grant,CB,2015,121,0.3
Willie Beavers,RG,2016,121,0.2
Joe Williams,RB,2017,121,0
Taron Johnson,CB,2018,121,4.4
Trevon Wesco,TE,2019,121,0.5
Logan Stenberg,LG,2020,121,0.1
Chris Hairston,RT,2011,122,0.5
Nick Toon,WR,2012,122,0.4
J.C. Tretter,C,2013,122,3.3000000000000003
Marqueston Huff,S,2014,122,0.4
Za'Darius Smith,ED,2015,122,8.8
Andrew Billings,IDL,2016,122,1.8000000000000003
Nico Siragusa,LG,2017,122,0.1
Kenny Young,LB,2018,122,0.6
Benjamin Snell Jr.,RB,2019,122,0.5
Tandon Doss,WR,2011,123,0.5
Brandon Boykin,CB,2012,123,0.5
Chris Harper,WR,2013,123,0.4
Kevin Norwood,WR,2014,123,0.1
Vince Mayle,TE,2015,123,0.3
Jerald Hawkins,RT,2016,123,0.4
Montae Nicholson,S,2017,123,0
Durham Smythe,TE,2018,123,1.7000000000000002
Ben Powers,LG,2019,123,5.8
Reggie Robinson,S,2020,123,0.5
Owen Marecic,RB,2011,124,0.5
Ron Brooks,CB,2012,124,1.2
Trevardo Williams,IDL,2013,124,0.3
De'Anthony Thomas,WR,2014,124,0.5
Kwon Alexander,LB,2015,124,7.200000000000001
Deon Bush,S,2016,124,0.7
Jalen Reeves-Maybin,LB,2017,124,1.3
Armani Watts,S,2018,124,0.6
Phil Haynes,LG,2019,124,0.5
"Anthony McFarland, Jr.",RB,2020,124,0.1
Taiwan Jones,RB,2011,125,1.1
Ronnell Lewis,LB,2012,125,0
Johnathan Franklin,RB,2013,125,0
Walt Aikens,S,2014,125,0.8
Buck Allen,RB,2015,125,0.5
Antonio Morrison,LB,2016,125,0
Samson Ebukam,ED,2017,125,3.3000000000000003
Avonte Maddox,CB,2018,125,4.1
Renell Wren,IDL,2019,125,0.1
Bilal Powell,RB,2011,126,1.4
Jared Crick,IDL,2012,126,1.3
William Gholston,IDL,2013,126,3.3000000000000003
Khairi Fortt,LB,2014,126,0.3
Mike Davis,RB,2015,126,0.4
Demarcus Robinson,WR,2016,126,1.2
Howard Wilson,CB,2017,126,0
Ito Smith,RB,2018,126,0.5
Riley Ridley,WR,2019,126,0
Charlie Heck,RT,2020,126,0.8
Rashad Carmichael,CB,2011,127,0.4
Adrien Robinson,TE,2012,127,0.4
Malliciah Goodman,ED,2013,127,0.4
Pierre Desir,CB,2014,127,0.4
Damien Wilson,LB,2015,127,1.6
Deiondre' Hall,S,2016,127,0.4
Michael Roberts,TE,2017,127,0.4
Rick Leonard,RT,2018,127,0.1
Iman Marshall,CB,2019,127,0
K'Von Wallace,S,2020,127,0.6
Cortez Allen,CB,2011,128,4.6
Rhett Ellison,FB,2012,128,1.1
Quinton Patton,WR,2013,128,0.5
Tre Boston,S,2014,128,0.4
Jon Feliciano,RG,2015,128,1.9
Evan Boehm,RG,2016,128,0.4
Josh Malone,WR,2017,128,0.3
Kentavius Street,ED,2018,128,0.6
Tony Pollard,RB,2019,128,4.5
Gabriel Davis,WR,2020,128,5.1
Julius Thomas,TE,2011,129,6.4
Miles Burris,LB,2012,129,0
John Simon,IDL,2013,129,0.2
Dontae Johnson,CB,2014,129,0.7
Jake Ryan,LB,2015,129,2.1
Derrick Kindred,S,2016,129,0.4
David Sharpe,LT,2017,129,0.3
Will Richardson,RT,2018,129,1
Isaiah Johnson,CB,2019,129,0.1
Cameron Clark,LG,2020,129,0
Jamie Harper,RB,2011,130,0
Christian Thompson,S,2012,130,0
Kyle Juszczyk,FB,2013,130,3.1
James White,RB,2014,130,2.4
Terry Poole,LT,2015,130,0.1
Alex Lewis,LG,2016,130,3.1
Julie'n Davenport,LT,2017,130,0.4
Josh Sweat,ED,2018,130,7.3
Drue Tranquill,LB,2019,130,1.3
James Lynch,IDL,2020,130,0.4
Davon House,CB,2011,131,4.3
Brandon Mosley,RT,2012,131,0
Marcus Lattimore,RB,2013,131,0
Brock Vereen,S,2014,131,0.1
Shaquille Mason,RG,2015,131,5.1
Blake Martinez,LB,2016,131,5.2
Deatrich Wise,ED,2017,131,3
Kalen Ballage,RB,2018,131,0.4
Wes Martin,RG,2019,131,0.5
Rashard Lawrence,IDL,2020,131,0.2
Kealoha Pilares,WR,2011,132,0
Mike Daniels,IDL,2012,132,7.200000000000001
Devin Taylor,ED,2013,132,0.5
Kevin Pierre-Louis,LB,2014,132,1.5
DeAndre Smelter,WR,2015,132,0.3
Willie Henry,IDL,2016,132,0.4
Donnel Pumphrey,RB,2017,132,0.1
Jaleel Scott,WR,2018,132,0.1
Ugochukwu Amadi,CB,2019,132,0.2
Troy Dye,LB,2020,132,0.7
Johnny White,RB,2011,133,0.4
Jerron McMillian,S,2012,133,0.4
Levine Toilolo,TE,2013,133,2.4
Nevin Lawson,CB,2014,133,2.6
Max Garcia,LG,2015,133,1.1
Rashard Robinson,CB,2016,133,0.4
Ryan Switzer,WR,2017,133,0.1
J'Mon Moore,WR,2018,133,0.1
Colby Parkinson,TE,2020,133,2.9
Robert Sands,S,2011,134,0
Greg Childs,WR,2012,134,0
Sanders Commings,CB,2013,134,0
Brent Urban,IDL,2014,134,0.6
Mark Glowinski,RG,2015,134,0.8
Kenneth Dixon,RB,2016,134,0.3
Jamaal Williams,RB,2017,134,1.6
Chase Edmonds,RB,2018,134,2.9
Greg Gaines,IDL,2019,134,1.6
Jaylinn Hawkins,S,2020,134,0.4
Matt Johnson,S,2012,135,0
Denard Robinson,WR,2013,135,0
Marcus Hardison,IDL,2015,135,0.1
John Franklin-Myers,ED,2018,135,0.4
John Cominsky,IDL,2019,135,1.9
Kevin Dotson,RG,2020,135,1
Anthony Sherman,FB,2011,136,1.6
Josh Chapman,IDL,2012,136,0
Earl Wolff,S,2013,136,0.1
Larry Webster,ED,2014,136,0.1
Tray Walker,CB,2015,136,0
Devontae Booker,RB,2016,136,0.5
Sean Harlow,LG,2017,136,0.1
Marquis Haynes,ED,2018,136,1.3
Michael Jordan,LG,2019,136,0.5
Brycen Hopkins,TE,2020,136,0
Buster Skrine,CB,2011,137,4.4
Malik Jackson,IDL,2012,137,9.2
Jesse Williams,IDL,2013,137,0.3
Dakota Dozier,LG,2014,137,0.5
Grady Jarrett,IDL,2015,137,9
Dean Lowry,IDL,2016,137,3.6000000000000005
Zach Banner,LG,2017,137,0.3
Dalton Schultz,TE,2018,137,5.3
Foster Moreau,TE,2019,137,1.8000000000000003
Josiah Scott,CB,2020,137,0.4
Marcus Cannon,RT,2011,138,3.2
Tahir Whitehead,LB,2012,138,2.6
Tharold Simon,CB,2013,138,0.5
Lorenzo Taliaferro,RB,2014,138,0
David Cobb,RB,2015,138,0.1
Seth DeValve,TE,2016,138,0.5
Ryan Glasgow,IDL,2017,138,0.1
Cole Madison,RG,2018,138,0
Shareef Miller,ED,2019,138,0.1
L'Jarius Sneed,CB,2020,138,7.8
Brandon Burton,CB,2011,139,0.5
Robert Blanton,S,2012,139,0.5
Montori Hughes,IDL,2013,139,0.4
Prince Shembo,LB,2014,139,0
Rashad Greene,WR,2015,139,0.4
Jehu Chesson,WR,2017,139,0.3
R.J. McIntosh,IDL,2018,139,0.1
Deionte Thompson,S,2019,139,0.1
Amik Robertson,CB,2020,139,1.8000000000000003
Gabe Miller,TE,2011,140,0.1
Najee Goode,LB,2012,140,0.4
Stepfan Taylor,RB,2013,140,0
Cameron Fleming,LT,2014,140,0.4
Tajae Sharpe,WR,2016,140,0.5
Wayne Gallman,RB,2017,140,0.5
Maurice Hurst,IDL,2018,140,0.6
Ryquell Armstead,RB,2019,140,0.5
Shaquille Quarterman,LB,2020,140,0.4
D.J. Williams,TE,2011,141,0.5
Adam Gettis,RG,2012,141,0.4
Oday Aboushi,RG,2013,141,0.5
Taylor Hart,LT,2014,141,0.4
Martrell Spaight,ED,2015,141,0.4
Zack Sanchez,CB,2016,141,0.1
Chad Hansen,WR,2017,141,0.1
Shaquem Griffin,LB,2018,141,0.4
Zach Gentry,TE,2019,141,0.6
John Reid,CB,2020,141,0.4
Karl Klug,IDL,2011,142,1.3
Brandon Marshall,LB,2012,142,0.5
