player,position,draft_year,draft_pos,performance_value
Brian Burns,ED,2019,16,11
A.J. Terrell,CB,2020,16,7.9
Nate Solder,LT,2011,17,7.000000000000001
Dre Kirkpatrick,CB,2012,17,6.3
Jarvis Jones,ED,2013,17,1.3
C.J. Mosley,LB,2014,17,9
Arik Armstead,IDL,2015,17,8.6
Keanu Neal,LB,2016,17,2.2
Jonathan Allen,IDL,2017,17,9.9
Derwin James,S,2018,17,9.1
Dexter Lawrence,IDL,2019,17,10
CeeDee Lamb,WR,2020,17,13.3
Corey Liuget,IDL,2011,18,7.200000000000001
Melvin Ingram,ED,2012,18,9.6
Eric Reid,S,2013,18,0.8
Calvin Pryor,S,2014,18,0
Marcus Peters,CB,2015,18,7.400000000000001
Ryan Kelly,C,2016,18,6.3
Adoree' Jackson,CB,2017,18,7.1
Jaire Alexander,CB,2018,18,10.1
Garrett Bradbury,C,2019,18,2.3
Austin Jackson,RT,2020,18,5.3
Prince Amukamara,CB,2011,19,3.5000000000000004
Shea McClellin,LB,2012,19,2
Justin Pugh,LG,2013,19,5.1
Ja'Wuan James,RT,2014,19,6.800000000000001
Cameron Erving,C,2015,19,1.6
Shaq Lawson,ED,2016,19,5
O.J. Howard,TE,2017,19,1.7000000000000002
Leighton Vander Esch,LB,2018,19,1
Jeffery Simmons,IDL,2019,19,10.5
Damon Arnette,CB,2020,19,0.1
Adrian Clayborn,ED,2011,20,2.1
Kendall Wright,WR,2012,20,1.2
Kyle Long,RG,2013,20,6.4
Brandin Cooks,WR,2014,20,9.1
Nelson Agholor,WR,2015,20,0.5
Darron Lee,LB,2016,20,0.1
Garett Bolles,LT,2017,20,8.6
Frank Ragnow,C,2018,20,7.400000000000001
Noah Fant,TE,2019,20,4.1
K'Lavon Chaisson,ED,2020,20,1
Phil Taylor,IDL,2011,21,0.5
Chandler Jones,ED,2012,21,2.1
Tyler Eifert,TE,2013,21,3.1
Ha-Ha Clinton-Dix,S,2014,21,1.6
Cedric Ogbuehi,RT,2015,21,0.5
Will Fuller,WR,2016,21,5.8
Jarrad Davis,LB,2017,21,3
Billy Price,C,2018,21,0.5
Darnell Savage Jr.,S,2019,21,2.8
Jalen Reagor,WR,2020,21,0.4
Anthony Castonzo,LT,2011,22,7.6
Desmond Trufant,CB,2013,22,8.2
Bud Dupree,ED,2015,22,8
Josh Doctson,WR,2016,22,0.4
Charles Harris,ED,2017,22,1
Rashaan Evans,LB,2018,22,0.8
Andre Dillard,LT,2019,22,4.3
Justin Jefferson,WR,2020,22,13.699999999999998
Danny Watkins,RG,2011,23,1.6
Riley Reiff,LT,2012,23,7.000000000000001
Sharrif Floyd,IDL,2013,23,0
Dee Ford,ED,2014,23,9
Shane Ray,ED,2015,23,0.6
Laquon Treadwell,WR,2016,23,0.4
Evan Engram,TE,2017,23,4.3
Isaiah Wynn,RT,2018,23,1
Tytus Howard,RT,2019,23,8.3
Kenneth Murray,LB,2020,23,3
Cameron Jordan,ED,2011,24,7.7
David DeCastro,RG,2012,24,6.4
Bjoern Werner,LB,2013,24,0.5
Darqueze Dennard,CB,2014,24,2.4
D.J. Humphries,LT,2015,24,7.400000000000001
William Jackson III,CB,2016,24,7.400000000000001
Gareon Conley,CB,2017,24,0.4
D.J. Moore,WR,2018,24,9.9
Josh Jacobs,RB,2019,24,5.2
Cesar Ruiz,RG,2020,24,4.9
James Carpenter,LG,2011,25,3.3000000000000003
Dont'a Hightower,LB,2012,25,5.3
Xavier Rhodes,CB,2013,25,8.4
Jason Verrett,CB,2014,25,1.6
Shaq Thompson,LB,2015,25,7.200000000000001
Artie Burns,CB,2016,25,0.5
Jabrill Peppers,S,2017,25,1
Hayden Hurst,TE,2018,25,1.7000000000000002
Marquise Brown,WR,2019,25,2.7
Brandon Aiyuk,WR,2020,25,11.7
Jonathan Baldwin,WR,2011,26,0.5
